Molecule;Target;ATC;Action;pCHEMBL
desipramine;muscarinic m1 receptor;N06AA01;antagonist;6.958607
desvenlafaxine;muscarinic m1 receptor;N06AX23;NA;5.000000
dicloxacillin;muscarinic m1 receptor;J01CF01;antagonist;8.764519
dimetindene;muscarinic m1 receptor;D04AA13. R06AB03;antagonist;6.720000
diphenhydramine;muscarinic m1 receptor;R06AA02. D04AA32;NA;7.000000
dosulepin;muscarinic m1 receptor;N06AA16;antagonist;7.742363
doxepin;muscarinic m1 receptor;N06AA12. D04AX01;antagonist;7.420216
duloxetine;muscarinic m1 receptor;N06AX21;NA;6.000000
ephedrine;muscarinic m1 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;muscarinic m1 receptor;N02CA02;NA;6.064493
escitalopram;muscarinic m1 receptor;N06AB10;antagonist;5.905878
etoricoxib;muscarinic m1 receptor;M01AH05;NA;5.000000
fenfluramine;muscarinic m1 receptor;A08AA02;NA;5.599470
fluoxetine;muscarinic m1 receptor;N06AB03;NA;6.046763
fluphenazine;muscarinic m1 receptor;N05AB02;NA;5.720456
fluvoxamine;muscarinic m1 receptor;N06AB08;NA;5.000000
haloperidol;muscarinic m1 receptor;N05AD01;NA;5.464179
hyperici herba;muscarinic m1 receptor;N06AX25;NA;5.000000
iloperidone;muscarinic m1 receptor;N05AX14;NA;5.309981
imipramine;muscarinic m1 receptor;N06AA02;antagonist;7.376751
ipratropium bromide;muscarinic m1 receptor;R03BB01. R01AX03;antagonist;9.304901
ketamine;muscarinic m1 receptor;N01AX03;NA;5.000000
lofepramine;muscarinic m1 receptor;N06AA07;NA;7.173925
loxapine;muscarinic m1 receptor;N05AH01;NA;6.964858
melperone;muscarinic m1 receptor;N05AD03;NA;4.909175
memantine;muscarinic m1 receptor;N06DX01;NA;5.000000
mequitazine;muscarinic m1 receptor;R06AD07;NA;8.251812
mesoridazine;muscarinic m1 receptor;N05AC03;NA;7.899367
metacholine;muscarinic m1 receptor;V04CX-a;NA;7.638272
methionine;muscarinic m1 receptor;V03AB26;NA;5.000000
methylphenidate;muscarinic m1 receptor;N06BA04;NA;5.000000
methylscopolamine;muscarinic m1 receptor;A03BB03. S01FA03;antagonist;9.577556
methysergide;muscarinic m1 receptor;N02CA04;NA;5.262887
mitragynine;muscarinic m1 receptor;N02AX-a;NA;5.000000
molindone;muscarinic m1 receptor;N05AE02;NA;3.550000
olanzapine;muscarinic m1 receptor;N05AH03;antagonist;7.980983
ondansetron;muscarinic m1 receptor;A04AA01;NA;5.000000
orphenadrine;muscarinic m1 receptor;M03BC51;NA;7.318759
oxybutynin;muscarinic m1 receptor;G04BD04;antagonist;8.797727
paroxetine;muscarinic m1 receptor;N06AB05;antagonist;6.825742
perphenazine;muscarinic m1 receptor;N05AB03;NA;5.770000
pilocarpine;muscarinic m1 receptor;N07AX01. S01EB01;agonist;5.165460
pramipexole;muscarinic m1 receptor;N04BC05;NA;5.000000
prochlorperazine;muscarinic m1 receptor;N05AB04;NA;6.110000
procyclidine;muscarinic m1 receptor;N04AA04;antagonist;8.337242
pseudoephedrine;muscarinic m1 receptor;R01BA02;NA;5.000000
quetiapine;muscarinic m1 receptor;N05AH04;antagonist;6.776237
risperidone;muscarinic m1 receptor;N05AX08;NA;5.315291
scopolamine;muscarinic m1 receptor;A04AD01. N05CM05. S01FA02;antagonist;8.746025
sertindole;muscarinic m1 receptor;N05AE03;NA;6.200000
sertraline;muscarinic m1 receptor;N06AB06;NA;6.123044
solifenacin;muscarinic m1 receptor;G04BD08;antagonist;7.397297
strychnine;muscarinic m1 receptor;A11AB-a;antagonist;4.933109
thioridazine;muscarinic m1 receptor;N05AC02;NA;8.067293
tianeptine;muscarinic m1 receptor;N06AX14;NA;5.000000
tiotixene;muscarinic m1 receptor;N05AF04;NA;5.267827
tolterodine;muscarinic m1 receptor;G04BD07;antagonist;8.599419
trazodone;muscarinic m1 receptor;N06AX05;NA;5.000000
trifluoperazine;muscarinic m1 receptor;N05AB06;NA;5.890000
trihexyphenidyl;muscarinic m1 receptor;N04AA01;antagonist;8.726830
umeclidinium bromide;muscarinic m1 receptor;R03BB07;antagonist;9.800000
venlafaxine;muscarinic m1 receptor;N06AX16;NA;5.477226
vincamine;muscarinic m1 receptor;C04AX07;neutral;4.800000
ziprasidone;muscarinic m1 receptor;N05AE04;antagonist;5.588547
zotepine;muscarinic m1 receptor;N05AX11;NA;6.692253
acetylsalicylic acid;muscarinic m2 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
aclidinium bromide;muscarinic m2 receptor;R03BB05;antagonist;9.684627
amisulpride;muscarinic m2 receptor;N05AL05;NA;5.000000
amitriptyline;muscarinic m2 receptor;N06AA09;antagonist;7.929059
aripiprazole;muscarinic m2 receptor;N05AX12;antagonist;5.453252
atomoxetine;muscarinic m2 receptor;N06BA09;NA;6.000000
atropine;muscarinic m2 receptor;A03BA01. S01FA01;antagonist;8.782793
benzatropine;muscarinic m2 receptor;N04AC01;NA;8.853872
bethanechol;muscarinic m2 receptor;N07AB02;agonist;4.000000
biperiden;muscarinic m2 receptor;N04AA02;antagonist;8.200329
bromperidol;muscarinic m2 receptor;N05AD06;NA;5.742363
bupropion;muscarinic m2 receptor;N06AX12;NA;5.000000
celecoxib;muscarinic m2 receptor;L01XX33. M01AH01;NA;5.000000
cevimeline;muscarinic m2 receptor;N07AX03;agonist;6.070000
chlorpromazine;muscarinic m2 receptor;N05AA01;NA;6.601616
chlorprothixene;muscarinic m2 receptor;N05AF03;antagonist;7.322921
clozapine;muscarinic m2 receptor;N05AH02;antagonist;7.223558
cocaine;muscarinic m2 receptor;N01BC01. R02AD03. S01HA01. S02DA02;antagonist;5.000000
cyamemazine;muscarinic m2 receptor;N05AA06;NA;7.376751
cyclobenzaprine;muscarinic m2 receptor;M03BX08;NA;7.221849
cyproheptadine;muscarinic m2 receptor;R06AX02;antagonist;8.154902
darifenacin;muscarinic m2 receptor;G04BD10;antagonist;7.316142
desipramine;muscarinic m2 receptor;N06AA01;antagonist;6.267606
desvenlafaxine;muscarinic m2 receptor;N06AX23;NA;5.000000
diclofenac;muscarinic m2 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dicloxacillin;muscarinic m2 receptor;J01CF01;NA;6.612610
dimetindene;muscarinic m2 receptor;D04AA13. R06AB03;antagonist;7.520000
diphenhydramine;muscarinic m2 receptor;R06AA02. D04AA32;antagonist;6.920819
dosulepin;muscarinic m2 receptor;N06AA16;antagonist;6.961287
doxepin;muscarinic m2 receptor;N06AA12. D04AX01;antagonist;6.795880
duloxetine;muscarinic m2 receptor;N06AX21;NA;6.000000
ephedrine;muscarinic m2 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;muscarinic m2 receptor;N02CA02;NA;6.040482
fenfluramine;muscarinic m2 receptor;A08AA02;NA;5.376079
fluoxetine;muscarinic m2 receptor;N06AB03;NA;5.568636
fluphenazine;muscarinic m2 receptor;N05AB02;NA;5.396310
haloperidol;muscarinic m2 receptor;N05AD01;NA;5.138093
hyperici herba;muscarinic m2 receptor;N06AX25;NA;5.000000
ibuprofen;muscarinic m2 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;muscarinic m2 receptor;N05AX14;NA;5.480041
imipramine;muscarinic m2 receptor;N06AA02;antagonist;7.591237
ipratropium bromide;muscarinic m2 receptor;R03BB01. R01AX03;antagonist;8.811946
ketamine;muscarinic m2 receptor;N01AX03;NA;5.000000
ketorolac;muscarinic m2 receptor;M01AB15. S01BC05;NA;5.000000
lofepramine;muscarinic m2 receptor;N06AA07;NA;6.481486
loxapine;muscarinic m2 receptor;N05AH01;NA;6.342725
meloxicam;muscarinic m2 receptor;M01AC06;NA;5.000000
melperone;muscarinic m2 receptor;N05AD03;NA;5.619894
memantine;muscarinic m2 receptor;N06DX01;NA;5.000000
mequitazine;muscarinic m2 receptor;R06AD07;NA;7.853872
mesoridazine;muscarinic m2 receptor;N05AC03;NA;7.489822
methionine;muscarinic m2 receptor;V03AB26;NA;5.000000
methylphenidate;muscarinic m2 receptor;N06BA04;NA;5.000000
methylscopolamine;muscarinic m2 receptor;A03BB03. S01FA03;antagonist;9.595311
methysergide;muscarinic m2 receptor;N02CA04;NA;5.212823
mitragynine;muscarinic m2 receptor;N02AX-a;NA;5.000000
molindone;muscarinic m2 receptor;N05AE02;NA;3.350000
naproxen;muscarinic m2 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;muscarinic m2 receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;muscarinic m2 receptor;N05AH03;antagonist;6.980315
ondansetron;muscarinic m2 receptor;A04AA01;NA;5.000000
orphenadrine;muscarinic m2 receptor;M03BC51;NA;6.671620
oxybutynin;muscarinic m2 receptor;G04BD04;antagonist;7.990374
parecoxib;muscarinic m2 receptor;M01AH04;NA;5.000000
paroxetine;muscarinic m2 receptor;N06AB05;antagonist;6.468521
perphenazine;muscarinic m2 receptor;N05AB03;NA;5.540000
pilocarpine;muscarinic m2 receptor;N07AX01. S01EB01;agonist;4.900000
piroxicam;muscarinic m2 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;muscarinic m2 receptor;N04BC05;NA;5.000000
procainamide;muscarinic m2 receptor;C01BA02;NA;7.812479
prochlorperazine;muscarinic m2 receptor;N05AB04;NA;5.850000
procyclidine;muscarinic m2 receptor;N04AA04;antagonist;7.602060
pseudoephedrine;muscarinic m2 receptor;R01BA02;NA;5.000000
psylocibine;muscarinic m2 receptor;N06BA-d;NA;5.000000
quetiapine;muscarinic m2 receptor;N05AH04;antagonist;6.089317
quinidine;muscarinic m2 receptor;C01BA01;NA;8.124939
risperidone;muscarinic m2 receptor;N05AX08;NA;5.210952
rofecoxib;muscarinic m2 receptor;M01AH02;NA;5.000000
scopolamine;muscarinic m2 receptor;A04AD01. N05CM05. S01FA02;antagonist;8.859424
sertraline;muscarinic m2 receptor;N06AB06;NA;5.677781
solifenacin;muscarinic m2 receptor;G04BD08;antagonist;6.736444
strychnine;muscarinic m2 receptor;A11AB-a;agonist;4.949747
thioridazine;muscarinic m2 receptor;N05AC02;NA;7.126808
tianeptine;muscarinic m2 receptor;N06AX14;NA;5.000000
tiotixene;muscarinic m2 receptor;N05AF04;NA;5.296225
tiotropium bromide;muscarinic m2 receptor;R03BB04;antagonist;10.300000
tolterodine;muscarinic m2 receptor;G04BD07;antagonist;8.491990
trazodone;muscarinic m2 receptor;N06AX05;NA;5.000000
trifluoperazine;muscarinic m2 receptor;N05AB06;NA;5.660000
trihexyphenidyl;muscarinic m2 receptor;N04AA01;antagonist;8.154902
umeclidinium bromide;muscarinic m2 receptor;R03BB08;antagonist;9.820000
valdecoxib;muscarinic m2 receptor;M01AH03;NA;5.000000
venlafaxine;muscarinic m2 receptor;N06AX16;NA;5.477226
vincamine;muscarinic m2 receptor;C04AX07;NA;5.100000
ziprasidone;muscarinic m2 receptor;N05AE04;antagonist;5.367530
zotepine;muscarinic m2 receptor;N05AX11;NA;6.168774
aclidinium bromide;muscarinic m3 receptor;R03BB05;antagonist;9.221269
amisulpride;muscarinic m3 receptor;N05AL05;NA;5.000000
amitriptyline;muscarinic m3 receptor;N06AA09;antagonist;7.767569
aripiprazole;muscarinic m3 receptor;N05AX12;antagonist;5.329893
atropine;muscarinic m3 receptor;A03BA01. S01FA01;antagonist;9.099316
benzatropine;muscarinic m3 receptor;N04AC01;NA;8.958607
bethanechol;muscarinic m3 receptor;N07AB02;agonist;4.200000
biperiden;muscarinic m3 receptor;N04AA02;antagonist;8.409467
bromperidol;muscarinic m3 receptor;N05AD06;NA;5.146302
bupropion;muscarinic m3 receptor;N06AX12;NA;5.000000
cevimeline;muscarinic m3 receptor;N07AX03;agonist;5.590000
chlorpromazine;muscarinic m3 receptor;N05AA01;antagonist;7.250505
chlorprothixene;muscarinic m3 receptor;N05AF03;antagonist;7.657577
clozapine;muscarinic m3 receptor;N05AH02;antagonist;7.592558
cocaine;muscarinic m3 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;muscarinic m3 receptor;N05AA06;NA;7.494850
cyclobenzaprine;muscarinic m3 receptor;M03BX08;NA;8.221849
cyproheptadine;muscarinic m3 receptor;R06AX02;antagonist;7.920819
darifenacin;muscarinic m3 receptor;G04BD10;antagonist;9.052441
desipramine;muscarinic m3 receptor;N06AA01;antagonist;6.677781
desvenlafaxine;muscarinic m3 receptor;N06AX23;NA;5.000000
dicloxacillin;muscarinic m3 receptor;J01CF01;antagonist;8.688544
dimetindene;muscarinic m3 receptor;D04AA13. R06AB03;antagonist;6.860000
diphenhydramine;muscarinic m3 receptor;R06AA02. D04AA32;NA;6.640165
dosulepin;muscarinic m3 receptor;N06AA16;antagonist;7.420108
doxepin;muscarinic m3 receptor;N06AA12. D04AX01;antagonist;7.283997
ephedrine;muscarinic m3 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;muscarinic m3 receptor;N02CA02;NA;5.000000
fenfluramine;muscarinic m3 receptor;A08AA02;NA;5.213313
fluoxetine;muscarinic m3 receptor;N06AB03;NA;6.000000
fluphenazine;muscarinic m3 receptor;N05AB02;NA;5.841336
glycopyrronium bromide;muscarinic m3 receptor;A03AB02. R03BB06;antagonist;9.748846
haloperidol;muscarinic m3 receptor;N05AD01;NA;5.000000
hyperici herba;muscarinic m3 receptor;N06AX25;NA;5.000000
iloperidone;muscarinic m3 receptor;N05AX14;NA;5.000000
imipramine;muscarinic m3 receptor;N06AA02;antagonist;7.221849
ipratropium bromide;muscarinic m3 receptor;R03BB01. R01AX03;antagonist;9.418720
ketamine;muscarinic m3 receptor;N01AX03;NA;5.000000
lofepramine;muscarinic m3 receptor;N06AA07;NA;6.886057
loxapine;muscarinic m3 receptor;N05AH01;NA;6.656506
melperone;muscarinic m3 receptor;N05AD03;NA;5.000000
memantine;muscarinic m3 receptor;N06DX01;NA;5.000000
mequitazine;muscarinic m3 receptor;R06AD07;NA;8.275724
mesoridazine;muscarinic m3 receptor;N05AC03;NA;7.045757
methionine;muscarinic m3 receptor;V03AB26;NA;5.000000
methylphenidate;muscarinic m3 receptor;N06BA04;NA;5.000000
methylscopolamine;muscarinic m3 receptor;A03BB03. S01FA03;antagonist;9.733774
methysergide;muscarinic m3 receptor;N02CA04;NA;5.334231
mitragynine;muscarinic m3 receptor;N02AX-a;NA;5.000000
molindone;muscarinic m3 receptor;N05AE02;NA;5.000000
olanzapine;muscarinic m3 receptor;N05AH03;antagonist;7.177584
ondansetron;muscarinic m3 receptor;A04AA01;NA;5.000000
orphenadrine;muscarinic m3 receptor;M03BC51;NA;6.920819
oxybutynin;muscarinic m3 receptor;G04BD04;antagonist;9.004365
paroxetine;muscarinic m3 receptor;N06AB05;antagonist;7.096910
perphenazine;muscarinic m3 receptor;N05AB03;NA;5.733298
pilocarpine;muscarinic m3 receptor;N07AX01. S01EB01;agonist;5.100000
pimozide;muscarinic m3 receptor;N05AG02;NA;5.708853
pramipexole;muscarinic m3 receptor;N04BC05;NA;5.000000
procyclidine;muscarinic m3 receptor;N04AA04;antagonist;7.906578
pseudoephedrine;muscarinic m3 receptor;R01BA02;NA;5.000000
quetiapine;muscarinic m3 receptor;N05AH04;antagonist;5.669112
risperidone;muscarinic m3 receptor;N05AX08;NA;5.000000
scopolamine;muscarinic m3 receptor;A04AD01. N05CM05. S01FA02;antagonist;9.378248
sertindole;muscarinic m3 receptor;N05AE03;NA;5.569925
sertraline;muscarinic m3 receptor;N06AB06;NA;5.886057
solifenacin;muscarinic m3 receptor;G04BD08;antagonist;7.511437
strychnine;muscarinic m3 receptor;A11AB-a;antagonist;4.892852
thioridazine;muscarinic m3 receptor;N05AC02;NA;7.591777
tianeptine;muscarinic m3 receptor;N06AX14;NA;5.000000
tiotixene;muscarinic m3 receptor;N05AF04;NA;5.000000
tiotropium bromide;muscarinic m3 receptor;R03BB04;antagonist;10.700000
tolterodine;muscarinic m3 receptor;G04BD07;antagonist;8.451599
trazodone;muscarinic m3 receptor;N06AX05;NA;5.000000
trifluoperazine;muscarinic m3 receptor;N05AB06;NA;5.999566
trihexyphenidyl;muscarinic m3 receptor;N04AA01;antagonist;8.193820
tropicamide;muscarinic m3 receptor;S01FA06;antagonist;7.289685
umeclidinium bromide;muscarinic m3 receptor;R03BB09;antagonist;10.220000
venlafaxine;muscarinic m3 receptor;N06AX16;NA;5.000000
vincamine;muscarinic m3 receptor;C04AX07;NA;5.700000
ziprasidone;muscarinic m3 receptor;N05AE04;antagonist;5.424969
zotepine;muscarinic m3 receptor;N05AX11;NA;5.973557
amisulpride;muscarinic m4 receptor;N05AL05;NA;5.000000
amitriptyline;muscarinic m4 receptor;N06AA09;antagonist;8.141334
aripiprazole;muscarinic m4 receptor;N05AX12;antagonist;5.818013
atropine;muscarinic m4 receptor;A03BA01. S01FA01;antagonist;9.091205
benzatropine;muscarinic m4 receptor;N04AC01;NA;8.958607
bethanechol;muscarinic m4 receptor;N07AB02;agonist;4.000000
biperiden;muscarinic m4 receptor;N04AA02;antagonist;8.619894
bromperidol;muscarinic m4 receptor;N05AD06;NA;5.769551
bupropion;muscarinic m4 receptor;N06AX12;NA;5.000000
cevimeline;muscarinic m4 receptor;N07AX03;agonist;5.990000
chlorpromazine;muscarinic m4 receptor;N05AA01;NA;7.103627
chlorprothixene;muscarinic m4 receptor;N05AF03;antagonist;7.744727
clozapine;muscarinic m4 receptor;N05AH02;antagonist;7.816536
cocaine;muscarinic m4 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;muscarinic m4 receptor;N05AA06;NA;7.920819
cyproheptadine;muscarinic m4 receptor;R06AX02;NA;8.096910
darifenacin;muscarinic m4 receptor;G04BD10;antagonist;7.875310
desipramine;muscarinic m4 receptor;N06AA01;antagonist;6.795880
desvenlafaxine;muscarinic m4 receptor;N06AX23;NA;5.000000
dimetindene;muscarinic m4 receptor;D04AA13. R06AB03;antagonist;6.530000
diphenhydramine;muscarinic m4 receptor;R06AA02. D04AA32;NA;6.950782
dosulepin;muscarinic m4 receptor;N06AA16;antagonist;7.212335
doxepin;muscarinic m4 receptor;N06AA12. D04AX01;antagonist;7.086186
ephedrine;muscarinic m4 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;muscarinic m4 receptor;N02CA02;NA;5.000000
fenfluramine;muscarinic m4 receptor;A08AA02;NA;5.103446
fluoxetine;muscarinic m4 receptor;N06AB03;NA;5.537602
fluphenazine;muscarinic m4 receptor;N05AB02;NA;5.274007
haloperidol;muscarinic m4 receptor;N05AD01;NA;5.000000
hyperici herba;muscarinic m4 receptor;N06AX25;NA;5.000000
iloperidone;muscarinic m4 receptor;N05AX14;NA;5.079981
imipramine;muscarinic m4 receptor;N06AA02;antagonist;6.950782
ipratropium bromide;muscarinic m4 receptor;R03BB01. R01AX03;antagonist;9.190223
ketamine;muscarinic m4 receptor;N01AX03;NA;5.000000
lofepramine;muscarinic m4 receptor;N06AA07;NA;6.468521
loxapine;muscarinic m4 receptor;N05AH01;NA;6.071473
melperone;muscarinic m4 receptor;N05AD03;NA;5.356547
memantine;muscarinic m4 receptor;N06DX01;NA;5.000000
mequitazine;muscarinic m4 receptor;R06AD07;NA;7.954677
mesoridazine;muscarinic m4 receptor;N05AC03;NA;7.721246
methionine;muscarinic m4 receptor;V03AB26;NA;5.000000
methylphenidate;muscarinic m4 receptor;N06BA04;NA;5.000000
methylscopolamine;muscarinic m4 receptor;A03BB03. S01FA03;antagonist;10.033295
methysergide;muscarinic m4 receptor;N02CA04;NA;5.000000
mitragynine;muscarinic m4 receptor;N02AX-a;NA;5.000000
olanzapine;muscarinic m4 receptor;N05AH03;antagonist;6.942350
ondansetron;muscarinic m4 receptor;A04AA01;NA;5.000000
orphenadrine;muscarinic m4 receptor;M03BC51;NA;6.769551
oxybutynin;muscarinic m4 receptor;G04BD04;antagonist;8.700000
paroxetine;muscarinic m4 receptor;N06AB05;antagonist;6.494850
pilocarpine;muscarinic m4 receptor;N07AX01. S01EB01;partial agonist;5.200000
pramipexole;muscarinic m4 receptor;N04BC05;NA;5.000000
procyclidine;muscarinic m4 receptor;N04AA04;antagonist;8.154902
pseudoephedrine;muscarinic m4 receptor;R01BA02;NA;5.000000
quetiapine;muscarinic m4 receptor;N05AH04;antagonist;6.361556
risperidone;muscarinic m4 receptor;N05AX08;NA;5.261940
scopolamine;muscarinic m4 receptor;A04AD01. N05CM05. S01FA02;antagonist;9.296270
sertraline;muscarinic m4 receptor;N06AB06;NA;5.853872
solifenacin;muscarinic m4 receptor;G04BD08;antagonist;6.800000
strychnine;muscarinic m4 receptor;A11AB-a;agonist;4.898979
thioridazine;muscarinic m4 receptor;N05AC02;NA;6.970838
tianeptine;muscarinic m4 receptor;N06AX14;NA;5.000000
tiotixene;muscarinic m4 receptor;N05AF04;NA;5.000000
tolterodine;muscarinic m4 receptor;G04BD07;antagonist;8.349850
trazodone;muscarinic m4 receptor;N06AX05;NA;5.000000
trihexyphenidyl;muscarinic m4 receptor;N04AA01;antagonist;8.585027
tropicamide;muscarinic m4 receptor;S01FA06;antagonist;8.460000
umeclidinium bromide;muscarinic m4 receptor;R03BB10;antagonist;10.300000
venlafaxine;muscarinic m4 receptor;N06AX16;NA;5.000000
vincamine;muscarinic m4 receptor;C04AX07;agonist;4.200000
ziprasidone;muscarinic m4 receptor;N05AE04;antagonist;5.383252
zotepine;muscarinic m4 receptor;N05AX11;NA;5.963853
acetylsalicylic acid;muscarinic m5 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;muscarinic m5 receptor;N05AL05;NA;5.000000
amitriptyline;muscarinic m5 receptor;N06AA09;antagonist;7.755570
aripiprazole;muscarinic m5 receptor;N05AX12;antagonist;5.632924
atropine;muscarinic m5 receptor;A03BA01. S01FA01;antagonist;9.497895
benzatropine;muscarinic m5 receptor;N04AC01;NA;8.552842
biperiden;muscarinic m5 receptor;N04AA02;antagonist;8.200329
bromperidol;muscarinic m5 receptor;N05AD06;NA;5.318759
bupropion;muscarinic m5 receptor;N06AX12;NA;5.000000
celecoxib;muscarinic m5 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;muscarinic m5 receptor;N05AA01;NA;7.558500
chlorprothixene;muscarinic m5 receptor;N05AF03;antagonist;7.602060
clozapine;muscarinic m5 receptor;N05AH02;NA;7.701321
cocaine;muscarinic m5 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;muscarinic m5 receptor;N05AA06;NA;7.455932
cyproheptadine;muscarinic m5 receptor;R06AX02;NA;7.928118
darifenacin;muscarinic m5 receptor;G04BD10;antagonist;8.438103
desipramine;muscarinic m5 receptor;N06AA01;antagonist;6.844664
desvenlafaxine;muscarinic m5 receptor;N06AX23;NA;5.000000
diclofenac;muscarinic m5 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dimetindene;muscarinic m5 receptor;D04AA13. R06AB03;antagonist;6.120000
diphenhydramine;muscarinic m5 receptor;R06AA02. D04AA32;NA;6.585027
dosulepin;muscarinic m5 receptor;N06AA16;antagonist;7.038106
doxepin;muscarinic m5 receptor;N06AA12. D04AX01;antagonist;7.124939
ephedrine;muscarinic m5 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;muscarinic m5 receptor;N02CA02;NA;5.000000
fenfluramine;muscarinic m5 receptor;A08AA02;NA;5.000000
fluoxetine;muscarinic m5 receptor;N06AB03;NA;5.568636
fluphenazine;muscarinic m5 receptor;N05AB02;NA;6.447332
haloperidol;muscarinic m5 receptor;N05AD01;NA;5.559872
hyperici herba;muscarinic m5 receptor;N06AX25;NA;5.000000
ibuprofen;muscarinic m5 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;muscarinic m5 receptor;N05AX14;NA;5.000000
imipramine;muscarinic m5 receptor;N06AA02;antagonist;7.080922
ipratropium bromide;muscarinic m5 receptor;R03BB01. R01AX03;antagonist;8.784762
ketamine;muscarinic m5 receptor;N01AX03;NA;5.000000
ketorolac;muscarinic m5 receptor;M01AB15. S01BC05;NA;5.000000
lofepramine;muscarinic m5 receptor;N06AA07;NA;6.337242
loxapine;muscarinic m5 receptor;N05AH01;NA;6.826196
meloxicam;muscarinic m5 receptor;M01AC06;NA;5.000000
melperone;muscarinic m5 receptor;N05AD03;NA;5.000000
memantine;muscarinic m5 receptor;N06DX01;NA;5.000000
mequitazine;muscarinic m5 receptor;R06AD07;NA;7.958607
mesoridazine;muscarinic m5 receptor;N05AC03;NA;7.221849
methionine;muscarinic m5 receptor;V03AB26;NA;5.000000
methylphenidate;muscarinic m5 receptor;N06BA04;NA;5.000000
methylscopolamine;muscarinic m5 receptor;A03BB03. S01FA03;antagonist;9.497895
methysergide;muscarinic m5 receptor;N02CA04;NA;5.000000
mitragynine;muscarinic m5 receptor;N02AX-a;NA;5.000000
naproxen;muscarinic m5 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;muscarinic m5 receptor;M01AX17. M02AA26;NA;5.000000
olanzapine;muscarinic m5 receptor;N05AH03;NA;7.653262
ondansetron;muscarinic m5 receptor;A04AA01;NA;5.000000
orphenadrine;muscarinic m5 receptor;M03BC51;NA;6.889410
oxybutynin;muscarinic m5 receptor;G04BD04;antagonist;7.900000
parecoxib;muscarinic m5 receptor;M01AH04;NA;5.000000
paroxetine;muscarinic m5 receptor;N06AB05;antagonist;6.187087
pilocarpine;muscarinic m5 receptor;N07AX01. S01EB01;partial agonist;5.000000
piroxicam;muscarinic m5 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;muscarinic m5 receptor;N04BC05;NA;5.000000
procyclidine;muscarinic m5 receptor;N04AA04;NA;7.619789
pseudoephedrine;muscarinic m5 receptor;R01BA02;NA;5.000000
psylocibine;muscarinic m5 receptor;N06BA-d;NA;5.000000
quetiapine;muscarinic m5 receptor;N05AH04;antagonist;5.617258
risperidone;muscarinic m5 receptor;N05AX08;NA;5.000000
rofecoxib;muscarinic m5 receptor;M01AH02;NA;5.000000
scopolamine;muscarinic m5 receptor;A04AD01. N05CM05. S01FA02;antagonist;8.684030
sertraline;muscarinic m5 receptor;N06AB06;NA;5.721246
solifenacin;muscarinic m5 receptor;G04BD08;antagonist;7.200000
strychnine;muscarinic m5 receptor;A11AB-a;antagonist;3.600000
thioridazine;muscarinic m5 receptor;N05AC02;NA;7.903419
tianeptine;muscarinic m5 receptor;N06AX14;NA;5.000000
tiotixene;muscarinic m5 receptor;N05AF04;NA;5.269541
tolterodine;muscarinic m5 receptor;G04BD07;antagonist;8.648699
trazodone;muscarinic m5 receptor;N06AX05;NA;5.000000
trihexyphenidyl;muscarinic m5 receptor;N04AA01;antagonist;7.798603
umeclidinium bromide;muscarinic m5 receptor;R03BB11;antagonist;9.900000
valdecoxib;muscarinic m5 receptor;M01AH03;NA;5.000000
venlafaxine;muscarinic m5 receptor;N06AX16;NA;5.000000
ziprasidone;muscarinic m5 receptor;N05AE04;antagonist;5.383252
zotepine;muscarinic m5 receptor;N05AX11;NA;5.738043
atracurium;nicotinic alpha1;M03AC04;antagonist;7.010000
aripiprazole;nicotinic alpha1beta2;N05AX12;NA;5.000000
chlorpromazine;nicotinic alpha1beta2;N05AA01;NA;5.000000
clozapine;nicotinic alpha1beta2;N05AH02;NA;5.000000
ergotamine;nicotinic alpha1beta2;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha1beta2;A08AA02;NA;5.000000
