AE;Target;Action;Intercept;Slope;SE;p_value;Pearson;Rank;BH20;Sign20
speech disorder;Serotonin 5-HT1 receptor;Partial Agonist;0.09;0.16;0.4;0.69426;0.12;450;0,1517706577;FALSE
imprisonment;Histamine H1 receptor;Antagonist;1.5;0.23;0.56;0.696434;0.13;451;0,1521079258;FALSE
disturbance in attention;Acetylcholinesterase;Antagonist;0.65;-0.04;0.09;0.699185;-0.24;452;0,1524451939;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Antagonist;-0.64;0.28;0.69;0.699673;0.16;453;0,1527824621;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Partial Agonist;-54.13;10.88;24.47;0.700098;0.3;454;0,1531197302;FALSE
impulsive behaviour;Glucocorticoid receptor;Agonist;1.77;-0.12;0.26;0.70062;-0.3;455;0,1534569983;FALSE
antisocial behaviour;Norepinephrine transporter;Antagonist;2.91;-0.1;0.25;0.702612;-0.14;456;0,1537942664;FALSE
impaired driving ability;Serotonin 5-HT7 receptor;Inverse Agonist;-1.33;0.22;0.51;0.708705;0.29;457;0,1541315346;FALSE
gambling disorder;Adrenergic Alpha2 receptor;Antagonist;100.86;-11.4;27.77;0.708989;-0.23;458;0,1544688027;FALSE
speech disorder;Dopamine D5 receptor;Agonist;4.5;-0.48;1.18;0.709375;-0.23;459;0,1548060708;FALSE
legal problem;Mu opioid receptor;Agonist;0.49;0.24;0.59;0.710036;0.23;460;0,1551433390;FALSE
social anxiety disorder;Histamine H1 receptor;Antagonist;-2.21;0.92;2.44;0.716411;0.14;461;0,1554806071;FALSE
disturbance in attention;Dopamine D3 receptor;Agonist;2.73;-0.25;0.59;0.717187;-0.28;462;0,1558178752;FALSE
disability;Adrenergic Beta2 receptor;Antagonist;1.44;-0.06;0.14;0.72115;-0.22;463;0,1561551433;FALSE
social anxiety disorder;GABA A receptor;Agonist;-0.47;0.44;1.06;0.721177;0.28;464;0,1564924115;FALSE
aggression;Monoamine oxidase B;Antagonist;-4.35;1.19;2.92;0.723528;0.28;465;0,1568296796;FALSE
impaired self-care;Serotonin transporter;Antagonist;1.74;-0.09;0.24;0.723582;-0.14;466;0,1571669477;FALSE
loss of employment;Serotonin 5-HT2 receptor;Antagonist;0.39;0.07;0.19;0.727631;0.18;467;0,1575042159;FALSE
social problem;Dopamine D2 receptor;Antagonist;0.72;-0.04;0.11;0.730146;-0.18;468;0,1578414840;FALSE
drug diversion;Histamine H1 receptor;Antagonist;2.19;-0.12;0.32;0.732102;-0.18;469;0,1581787521;FALSE
loss of personal independence in daily activities;Glucocorticoid receptor;Agonist;-0.34;0.58;1.68;0.735172;0.1;470;0,1585160202;FALSE
speech disorder;Mu opioid receptor;Agonist;0.45;0.08;0.24;0.736247;0.11;471;0,1588532884;FALSE
physical assault;GABA A receptor;Agonist;5.8;-0.37;0.95;0.736465;-0.26;472;0,1591905565;FALSE
disability;GABA A receptor;Agonist;-0.15;0.07;0.18;0.736988;0.26;473;0,1595278246;FALSE
stress at work;Norepinephrine transporter;Antagonist;1.41;-0.08;0.21;0.737887;-0.26;474;0,1598650927;FALSE
disability;Serotonin 5-HT2 receptor;Inverse Agonist;-0.44;0.11;0.29;0.741582;0.2;475;0,1602023609;FALSE
social avoidant behaviour;Mu opioid receptor;Agonist;0.58;0.02;0.07;0.742542;0.14;476;0,1605396290;FALSE
disability;Delta opioid receptor;Agonist;1.71;-0.17;0.46;0.743553;-0.26;477;0,1608768971;FALSE
sexual abuse;GABA A receptor;Agonist;28.91;-2.54;7.11;0.744385;-0.2;478;0,1612141653;FALSE
speech disorder;Dopamine D3 receptor;Antagonist;-0.63;0.4;1.23;0.751903;0.09;479;0,1615514334;FALSE
social avoidant behaviour;Dopamine transporter;Antagonist;1.81;-0.05;0.14;0.752166;-0.11;480;0,1618887015;FALSE
disturbance in attention;Dopamine D2 receptor;Antagonist;0.3;0.12;0.37;0.756579;0.07;481;0,1622259696;FALSE
job dissatisfaction;Norepinephrine transporter;Antagonist;1.1;0.11;0.34;0.756719;0.13;482;0,1625632378;FALSE
impulse-control disorder;Dopamine D2 receptor;Antagonist;3.72;-0.21;0.64;0.757072;-0.13;483;0,1629005059;FALSE
social problem;Delta opioid receptor;Agonist;0.01;0.05;0.14;0.757267;0.24;484;0,1632377740;FALSE
loss of personal independence in daily activities;Adrenergic Alpha2 receptor;Antagonist;0.95;-0.09;0.26;0.758045;-0.16;485;0,1635750422;FALSE
impaired self-care;Serotonin 5-HT7 receptor;Antagonist;5.8;-0.34;0.98;0.758776;-0.24;486;0,1639123103;FALSE
theft;GABA A receptor;Agonist;7.3;-0.64;1.82;0.75993;-0.24;487;0,1642495784;FALSE
impulsive behaviour;Serotonin transporter;Antagonist;1.6;0.14;0.45;0.761789;0.08;488;0,1645868465;FALSE
aggression;Histamine H1 receptor;Antagonist;1.77;0.07;0.24;0.763531;0.06;489;0,1649241147;FALSE
aggression;Progesterone receptor;Agonist;-0.06;0.08;0.24;0.765926;0.16;490;0,1652613828;FALSE
loss of personal independence in daily activities;Adrenergic Beta2 receptor;Antagonist;1.03;0.04;0.14;0.766341;0.13;491;0,1655986509;FALSE
marital problem;Estrogen Alpha receptor;Agonist;-382.82;60.36;177.65;0.766372;0.23;492;0,1659359191;FALSE
impaired quality of life;Serotonin transporter;Antagonist;-0.05;0.03;0.08;0.768615;0.18;493;0,1662731872;FALSE
disturbance in attention;Norepinephrine transporter;Antagonist;1.45;0.05;0.18;0.769384;0.06;494;0,1666104553;FALSE
social anxiety disorder;Serotonin 5-HT2 receptor;Antagonist;23.9;-2.3;7.43;0.769621;-0.14;495;0,1669477234;FALSE
physical assault;Delta opioid receptor;Agonist;1.97;-0.15;0.44;0.772817;-0.23;496;0,1672849916;FALSE
impulsive behaviour;Serotonin 5-HT1 receptor;Partial Agonist;1.73;0.19;0.66;0.778865;0.13;497;0,1676222597;FALSE
compulsive shopping;Serotonin 5-HT1 receptor;Partial Agonist;50.38;-3.76;12.6;0.780126;-0.15;498;0,1679595278;FALSE
impaired self-care;Mu opioid receptor;Agonist;0.55;0.06;0.2;0.783409;0.22;499;0,1682967960;FALSE
impaired driving ability;Dopamine D2 receptor;Agonist;1.09;-0.05;0.16;0.785195;-0.21;500;0,1686340641;FALSE
physical assault;Serotonin 5-HT1 receptor;Antagonist;-6.28;1.49;4.79;0.785453;0.21;501;0,1689713322;FALSE
aggression;Adrenergic Beta2 receptor;Antagonist;0.97;-0.04;0.13;0.790296;-0.12;502;0,1693086003;FALSE
loss of personal independence in daily activities;Serotonin 5-HT6 receptor;Inverse Agonist;1.04;-0.1;0.34;0.792996;-0.16;503;0,1696458685;FALSE
family stress;GABA A receptor;Agonist;0.71;-0.04;0.15;0.795535;-0.2;504;0,1699831366;FALSE
stress at work;Serotonin transporter;Antagonist;0.43;0.05;0.18;0.796084;0.12;505;0,1703204047;FALSE
impaired driving ability;Muscarinic M2 receptor;Antagonist;1.72;-0.04;0.16;0.799949;-0.13;506;0,1706576728;FALSE
speech disorder;Kappa opioid receptor;Agonist;0.22;0.13;0.5;0.805357;0.15;507;0,1709949410;FALSE
loss of personal independence in daily activities;GABA A receptor;Agonist;0.02;0.05;0.17;0.805591;0.15;508;0,1713322091;FALSE
loss of personal independence in daily activities;Serotonin 5-HT3 receptor;Antagonist;9.24;-0.78;2.92;0.806379;-0.15;509;0,1716694772;FALSE
gambling disorder;Dopamine D2 receptor;Partial Agonist;50.64;-2.76;10.19;0.812069;-0.19;510;0,1720067454;FALSE
impaired driving ability;Muscarinic M4 receptor;Antagonist;0.82;0.07;0.29;0.813086;0.11;511;0,1723440135;FALSE
disability;Serotonin 5-HT1 receptor;Agonist;0.23;0.03;0.13;0.814986;0.15;512;0,1726812816;FALSE
legal problem;Serotonin transporter;Antagonist;1.29;0.16;0.66;0.818833;0.08;513;0,1730185497;FALSE
speech disorder;Serotonin 5-HT6 receptor;Antagonist;2.06;-0.11;0.48;0.82207;-0.09;514;0,1733558179;FALSE
sexual abuse;Dopamine transporter;Antagonist;0.99;0.05;0.19;0.82499;0.18;515;0,1736930860;FALSE
impaired work ability;Serotonin 5-HT2 receptor;Antagonist;0.4;0.02;0.08;0.826947;0.09;516;0,1740303541;FALSE
gambling;Adrenergic Alpha2 receptor;Antagonist;57.99;-5.91;25.28;0.830131;-0.13;517;0,1743676223;FALSE
hypersexuality;Dopamine D2 receptor;Antagonist;0.77;0.1;0.43;0.830925;0.1;518;0,1747048904;FALSE
speech disorder;Dopamine D2 receptor;Agonist;1.58;-0.08;0.35;0.832848;-0.1;519;0,1750421585;FALSE
disturbance in attention;Serotonin 5-HT6 receptor;Antagonist;0.1;0.33;1.53;0.834204;0.08;520;0,1753794266;FALSE
aggression;Dopamine D1 receptor;Agonist;-0.66;0.26;1.11;0.835344;0.16;521;0,1757166948;FALSE
disturbance in attention;Glucocorticoid receptor;Agonist;0.54;0.02;0.09;0.836569;0.06;522;0,1760539629;FALSE
hypersexuality;Dopamine D1 receptor;Agonist;-3.14;5.89;25.46;0.83858;0.16;523;0,1763912310;FALSE
loss of personal independence in daily activities;Adrenergic Alpha2 receptor;Partial Agonist;-1.96;0.43;1.99;0.839942;0.11;524;0,1767284992;FALSE
loss of employment;Histamine H1 receptor;Antagonist;2.82;-0.17;0.84;0.842083;-0.08;525;0,1770657673;FALSE
shoplifting;Norepinephrine transporter;Antagonist;1.42;-0.05;0.21;0.842216;-0.12;526;0,1774030354;FALSE
imprisonment;Serotonin 5-HT2 receptor;Antagonist;-0.51;0.46;2.11;0.842531;0.12;527;0,1777403035;FALSE
compulsive shopping;Dopamine D2 receptor;Partial Agonist;46.71;-2.51;11.84;0.845873;-0.12;528;0,1780775717;FALSE
disturbance in attention;Kappa opioid receptor;Agonist;0.48;0.03;0.16;0.848448;0.12;529;0,1784148398;FALSE
impaired driving ability;Muscarinic M3 receptor;Antagonist;0.93;0.05;0.27;0.85094;0.08;530;0,1787521079;FALSE
antisocial behaviour;Dopamine transporter;Antagonist;1.4;0.09;0.45;0.852786;0.12;531;0,1790893761;FALSE
impaired driving ability;Histamine H1 receptor;Antagonist;0.52;0.05;0.25;0.854209;0.05;532;0,1794266442;FALSE
social fear;Serotonin transporter;Antagonist;5.65;-0.28;1.41;0.855452;-0.11;533;0,1797639123;FALSE
aggression;Dopamine D3 receptor;Antagonist;1.71;0.09;0.5;0.857045;0.06;534;0,1801011804;FALSE
loss of personal independence in daily activities;Serotonin 5-HT1 receptor;Antagonist;0.06;0.03;0.13;0.857309;0.14;535;0,1804384486;FALSE
aggression;Serotonin transporter;Antagonist;1.6;0.07;0.41;0.858199;0.03;536;0,1807757167;FALSE
social avoidant behaviour;Serotonin 5-HT2 receptor;Antagonist;3.03;-0.07;0.37;0.858208;-0.06;537;0,1811129848;FALSE
social problem;Histamine H1 receptor;Antagonist;0.94;-0.04;0.22;0.863088;-0.07;538;0,1814502530;FALSE
impaired self-care;Norepinephrine transporter;Antagonist;1.7;-0.08;0.45;0.866392;-0.08;539;0,1817875211;FALSE
disturbance in attention;Histamine H1 receptor;Antagonist;1.29;-0.02;0.12;0.867742;-0.03;540;0,1821247892;FALSE
disturbance in attention;Adrenergic Alpha2 receptor;Antagonist;1.23;-0.08;0.44;0.867997;-0.07;541;0,1824620573;FALSE
social avoidant behaviour;Histamine H1 receptor;Antagonist;2.44;-0.07;0.39;0.868144;-0.04;542;0,1827993255;FALSE
speech disorder;Serotonin 5-HT7 receptor;Antagonist;0.9;0.08;0.5;0.873558;0.06;543;0,1831365936;FALSE
family stress;Histamine H1 receptor;Antagonist;0.32;-0.01;0.07;0.874136;-0.07;544;0,1834738617;FALSE
unemployment;Norepinephrine transporter;Antagonist;2.11;0.08;0.45;0.877191;0.12;545;0,1838111298;FALSE
poor personal hygiene;Dopamine D2 receptor;Antagonist;1.73;0.44;2.81;0.880624;0.07;546;0,1841483980;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Antagonist;0.39;0.01;0.06;0.886429;0.04;547;0,1844856661;FALSE
aggression;Serotonin 5-HT2 receptor;Antagonist;1.5;0.03;0.19;0.887725;0.03;548;0,1848229342;FALSE
imprisonment;Delta opioid receptor;Agonist;0.79;0.07;0.49;0.89263;0.11;549;0,1851602024;FALSE
physical assault;Mu opioid receptor;Agonist;1.91;-0.07;0.46;0.89557;-0.07;550;0,1854974705;FALSE
antisocial behaviour;Mu opioid receptor;Agonist;0.74;0.02;0.13;0.898274;0.1;551;0,1858347386;FALSE
impaired driving ability;Serotonin 5-HT1 receptor;Partial Agonist;2.5;-0.09;0.75;0.909071;-0.04;552;0,1861720067;FALSE
disability;Dopamine D4 receptor;Antagonist;0.17;0.04;0.28;0.909318;0.09;553;0,1865092749;FALSE
disturbance in attention;GABA A receptor;Agonist;0.76;0.03;0.23;0.909529;0.06;554;0,1868465430;FALSE
impaired work ability;GABA A receptor;Agonist;0.86;-0.03;0.26;0.912408;-0.09;555;0,1871838111;FALSE
impulse-control disorder;Dopamine D3 receptor;Antagonist;3.55;-0.18;1.54;0.916523;-0.08;556;0,1875210793;FALSE
language disorder;Serotonin transporter;Antagonist;2.24;0.16;1.57;0.919356;0.03;557;0,1878583474;FALSE
loss of personal independence in daily activities;Kappa opioid receptor;Agonist;0.67;0.01;0.07;0.919644;0.08;558;0,1881956155;FALSE
speech disorder;Adrenergic Beta2 receptor;Antagonist;2.28;0.04;0.34;0.919781;0.04;559;0,1885328836;FALSE
speech disorder;Muscarinic M2 receptor;Antagonist;1.66;0.03;0.26;0.920645;0.03;560;0,1888701518;FALSE
loss of personal independence in daily activities;Serotonin 5-HT6 receptor;Antagonist;0.47;-0.01;0.13;0.921877;-0.05;561;0,1892074199;FALSE
impaired driving ability;Serotonin 5-HT2 receptor;Antagonist;0.64;0.01;0.14;0.922215;0.04;562;0,1895446880;FALSE
homicide;Serotonin 5-HT7 receptor;Antagonist;2.94;-0.06;0.53;0.922229;-0.08;563;0,1898819562;FALSE
language disorder;Serotonin 5-HT2 receptor;Inverse Agonist;-8.35;1.44;14.66;0.930793;0.07;564;0,1902192243;FALSE
aggression;Dopamine D3 receptor;Partial Agonist;0.9;0.02;0.24;0.930823;0.05;565;0,1905564924;FALSE
loss of personal independence in daily activities;Dopamine D1 receptor;Agonist;0.41;-0.01;0.15;0.939251;-0.06;566;0,1908937605;FALSE
hypersexuality;Dopamine D5 receptor;Agonist;23.4;1.33;15.7;0.940369;0.06;567;0,1912310287;FALSE
disturbance in attention;Serotonin 5-HT6 receptor;Inverse Agonist;1.35;-0.07;0.86;0.941661;-0.03;568;0,1915682968;FALSE
divorced;Serotonin transporter;Antagonist;1.79;-0.03;0.4;0.943113;-0.04;569;0,1919055649;FALSE
social problem;GABA A receptor;Agonist;0.68;-0.02;0.28;0.945377;-0.05;570;0,1922428331;FALSE
impaired driving ability;Dopamine D2 receptor;Antagonist;0.51;-0.01;0.15;0.946021;-0.03;571;0,1925801012;FALSE
impulsive behaviour;Serotonin 5-HT6 receptor;Antagonist;1.46;-0.04;0.56;0.94945;-0.05;572;0,1929173693;FALSE
aggression;Adrenergic Alpha1 receptor;Antagonist;2.14;-0.03;0.55;0.95475;-0.02;573;0,1932546374;FALSE
imprisonment;Dopamine transporter;Antagonist;0.91;0.06;0.87;0.955213;0.04;574;0,1935919056;FALSE
homicide;Mu opioid receptor;Agonist;2.45;0.03;0.5;0.956845;0.02;575;0,1939291737;FALSE
impaired driving ability;Muscarinic M1 receptor;Antagonist;1.55;-0.02;0.34;0.9602;-0.02;576;0,1942664418;FALSE
imprisonment;Dopamine D2 receptor;Antagonist;2.59;0.04;0.75;0.964369;0.02;577;0,1946037099;FALSE
impulse-control disorder;Serotonin 5-HT2 receptor;Partial Agonist;17.7;-0.59;12.14;0.965498;-0.03;578;0,1949409781;FALSE
imprisonment;Adrenergic Alpha2 receptor;Antagonist;4.84;-0.23;5.17;0.967957;-0.03;579;0,1952782462;FALSE
impulsive behaviour;Serotonin 5-HT7 receptor;Inverse Agonist;1.28;0.04;0.87;0.969529;0.03;580;0,1956155143;FALSE
social avoidant behaviour;Glucocorticoid receptor;Agonist;0.41;0;0.08;0.977543;0.01;581;0,1959527825;FALSE
speech disorder;Acetylcholinesterase;Antagonist;4.63;-0.09;2.99;0.97806;-0.02;582;0,1962900506;FALSE
hypersexuality;Histamine H1 receptor;Antagonist;2.21;0.03;0.94;0.978194;0.01;583;0,1966273187;FALSE
antisocial behaviour;Dopamine D2 receptor;Antagonist;2.82;-0.03;1.39;0.984068;-0.01;584;0,1969645868;FALSE
social problem;Serotonin 5-HT2 receptor;Antagonist;0.41;0;0.08;0.984862;-0.02;585;0,1973018550;FALSE
disturbance in attention;Adrenergic Beta2 receptor;Antagonist;1.2;0;0.16;0.986572;0.01;586;0,1976391231;FALSE
aggression;Adrenergic Alpha2 receptor;Antagonist;1.85;0.03;1.7;0.987467;0.01;587;0,1979763912;FALSE
aggression;Adrenergic Beta2 receptor;Agonist;0.41;0;0.1;0.991153;-0.01;588;0,1983136594;FALSE
disturbance in attention;Dopamine D3 receptor;Antagonist;1.65;-0.01;0.73;0.992749;0;589;0,1986509275;FALSE
impaired driving ability;Adrenergic Beta2 receptor;Antagonist;1.13;0;0.16;0.993968;0;590;0,1989881956;FALSE
impaired driving ability;Glucocorticoid receptor;Agonist;0.89;0;0.13;0.995748;0;591;0,1993254637;FALSE
gambling;Serotonin transporter;Antagonist;0.46;0;0.1;0.996343;0;592;0,1996627319;FALSE
impaired driving ability;Serotonin 5-HT7 receptor;Antagonist;0.75;0;0.37;0.998375;0;593;0,2000000000;FALSE
